name,location,zip_code,rating
Sweet & Coffee - Primax 25 Julio,"Av. 25 de Julio y Ernesto Albán Mosquera Primax, Guayaquil ",090102,"4,7"
Sweet & Coffee - Urdesa,"C. 9 NO, Guayaquil ",090511,"4,7"
Sweet & Coffee - 9 de Octubre,"Av. 9 de Octubre y, Av. José de Antepara, Guayaquil ",090311,"4,6"
Sweet & Coffee - Bahía Malecón,"Malecón Simón Bolívar entre Sucre y Cristobal Colon Fontanarrosa CC Bahía Malecón, Galería C, Local C30, Guayaquil ",090313,"4,6"
Sweet & Coffee,Guayaquil ,090513,"4,6"
Sweet & Coffee - Universidad Católica,"Av. Pdte. Carlos Julio Arosemena Tola 646, Guayaquil ",090615,"4,6"
Sweet & Coffee - Gran Pasaje,"Av. 9 de Octubre 432, Guayaquil ",090313,"4,6"
Sweet & Coffee - Malecón 2000,"Malecón Simón Bolívar S/N y, Luis Urdaneta, Guayaquil ",090306,"4,6"
Sweet & Coffee - Puerto Santa Ana,"Sotavento, Pa. de España, Guayaquil ",090313,"4,7"
Sweet & Coffee - Mall del Sol Isla,"Centro Comercial, Av, Joaquín José Orrantia González 100, Guayaquil ",090505,"4,6"
Universidad del Café Sweet & Coffee,"junto al Colegio, Av. Pdte. Carlos Julio Arosemena Tola Km. 1, Guayaquil ",090615,"4,8"
Sweet & Coffee - Alborada,"Av. Rodolfo Baquerizo Nazur, Guayaquil ",090508,"4,7"
Sweet & Coffee - Plaza Coronel Kennedy,"Av. San Jorge y, 1er Callejon 11A NO, Guayaquil ",090510,"4,7"
Sweet & Coffee - Boyacá,"Boyaca y, Diez de Agosto, Guayaquil ",090313,"4,7"
Sweet & Coffee - Primax Ceibos,"Primax Km 6.5, Av. del Bombero, Guayaquil ",090904,"4,6"
Sweet & Coffee - Pedro Carbo,"Pedro Carbo Esq. y, Gabriel Jose de Luque, Guayaquil ",090313,"4,6"
Sweet & Coffee - City Mall Planta Baja,"V35R+H5F, Av. Benjamín Carrión Mora S/N e Ing. Felipe Pezo Campuzano C.C. City Mall, Planta Baja, Guayaquil ",090602,"4,5"
Sweet & Coffee - Primax Domingo Comín,"Primax Domingo Comín, SUR, Mercados Y Centros Comerciales Av. Domingo Comín y, Las Gaviotas, Guayaquil ",090108,"4,6"
Sweet & Coffee - Riocentro Sur,"Piso:1, S/N,C.C. Riocentro Sur Planta Alta, Patio de Comidas, Local #C1, Av. 25 de Julio, Guayaquil ",090107,"4,6"
Sweet & Coffee - World Trade Center,"Av. Francisco de Orellana y Justino Cornejo Edificio World Trade Center, Guayaquil ",090506,"4,6"
Sweet & Coffee - Malecón del Salado,"Av. Nueve de Octubre S/N y Tungurahua Malecón del Salado, junto a la Plaza Rodolfo Baquerizo Moreno, Guayaquil ",090510,"4,6"
Sweet & Coffee - ESPOL,Gua,yaquil,"4,6"
Sweet & Coffee - Primax Francisco de Orellana,"Calle:Francisco De Orellana, Norte, Guayaquil ",090512,"4,7"
Sweet & Coffee - Plaza del Sol,"Av. Juan Tanca Marengo, Guayaquil ",090505,"4,6"
Sweet & Coffee - Primax Vergeles,"Primax, Av. Francisco de Orellana, Guayaquil ",090703,"4,6"
Sweet & Coffee - Riocentro Sur,"Piso:1, S/N,C.C. Riocentro Sur Planta Alta, Patio de Comidas, Local #C1, Av. 25 de Julio, Guayaquil ",090107,"4,6"
Sweet & Coffee - Centro Sur,"Chile 3403 y Azuay Centro Sur, Guayaquil ",090109,"4,6"
Sweet & Coffee - Primax Carlos Julio Arosemena,"Int: 1, Piso: 1, Carlos Julio Arosemena Ext: 1880, Norte, Guayaquil ",090603,"4,6"
Sweet & Coffee - Guayarte,"Av. Carlos Julio Arosemena Km 1 Plaza Guayarte, Local CJ007, Guayaquil ",090615,"4,5"
Sweet & Coffee • Riocentro Ceibos,"Av. del Bombero Km 6.5 C.C. Ríocentro Ceibos Planta Alta, Local #64 en Patio de Comidas, Guayaquil ",090904,"4,6"
Sweet & Coffee - Megamaxi Ceibos,"Megamaxi Los Ceibos, Av. del Bombero Km 6, Guayaquil ",090615,"4,5"
Sweet & Coffee - Supermaxi Urdesa,"Supermaxi, Miguel Aspiazu Carbo, Guayaquil ",090511,"5,0"
Sweet & Coffee - Gran Akí Mapasingue,"Gran Akí, Vía a Daule y, C. Primera, Guayaquil ",090613,"4,7"
Sweet & Coffee - Primax Plaza Dañin,"Primax, 1, Av. Carlos Luis Plaza Dañin 103, Guayaquil ",090505,"4,6"
Sweet & Coffee - Previsora,"Edificio Santistevan, Av. 9 de Octubre 111, Guayaquil ",090313,"4,7"
Sweet & Coffee Parque California,"Parque California, Vía a Daule, Guayaquil ",090706,"4,6"
Sweet & Coffee - Policentro,"Av. Luis Plaza Dañin y Av. San Jorge C.C. Policentro, local 95, Guayaquil ",090512,"4,7"
Sweet & Coffee - Primax Garzota 1,"Dentro de Gasolinera Primax, Av. Guillermo Pareja Rolando, y, Guayaquil ",090505,"4,6"
Sweet & Coffee - Mega Kywi Garzota,"y Mega Kywi, Av Isidro Ayora, Guayaquil ",090513,"4,6"
Sweet & Coffee - Gran Akí Astillero,"Chile y Letamendi Gran Akí Astillero, Calle 22 SE, Guayaquil ",090314,"4,6"
Sweet & Coffee - Primax Vía a Daule,"Norte, Ciudad, Mercados y Centros Comerciales, Vía a Daule Km 8.5 Primax, Vía a Daule, Guayaquil ",090606,"4,6"
Sweet & Coffee - Supermaxi Albán Borja,"C.C. Albán Borja, dentro de Supermaxi Av. Carlos Julio Arosemena Tola 2, 5 Km, Guayaquil ",090615,"4,5"
Sweet & Coffee,"Primax Terminal Terrestre, Cdla, Norte, Av Benjamín Rosales S/N, Guayaquil ",090505,"4,2"
Sweet & Coffee - El Fortín,"Patio de Comidas, Pasaje 56 N-O y Calle 23B N-O Mall, Guayaquil ",090802,"5,0"
Sweet & Coffee - Riocentro Norte PB,"Av. Francisco de Orellana y Calle 20 NO, C.C. Riocentro Norte, Planta Baja, Local 1A, Guayaquil ",090607,"4,6"
Sweet & Coffee - Primax Tanca Marengo,"Primax, Av. Juan Tanca Marengo, y, Guayaquil ",090509,"4,6"
Sweet & Coffee - Primax Garzota 2,"Av. Guillermo Pareja Rolando, y, Guayaquil ",090505,"4,6"
Sweet & Coffee - Supermaxi Ciudad Colón,"Av. Rodrigo Chávez, Ciudad Colón Supermaxi, Isla 1, Guayaquil ",090510,"4,6"
Sweet & Coffee - Oasis,"Oasis Centro Comercial, Autop. Narcisa de Jesús, Gua",yaquil,"4,7"
Sweet & Coffee - Jardines de Esperanza,"Ingeniero Felipe Pezo Campuzano, y, Guayaquil ",090606,"4,5"
Sweet & Coffee,Guayaquil ,090513,"4,3"
Sweet & Coffee - San Marino Isla,"Av. Francisco de Orellana y Av. Plaza Dañín C.C. San Marino Shopping, Primer Piso Alto, Local #47, Guayaquil ",090512,"4,5"
Sweet & Coffee - Terminal Terrestre Isla,"090703, Guayaquil ",090703,"3,0"
Sweet & Coffee - Primax Pto. Azul,"E40, Vía a la Costa Km. 1, Gua",yaquil,"4,8"
Sweet & Coffee - Listo! Belohorizonte,"Acceso 1 S-O, y, Guayaquil ",090902,"5,0"
Sweet & Coffee - Hipermarket Pedro Menéndez,"Av. Pedro Menéndez Gilbert, y, Guayaquil ",090513,"4,3"
Sweet & Coffee - Mall del Sur Patio de Comidas,"Av. 25 de Julio entre José de la Cuadra y Ernesto Albán Mosquera C.C. Mall del Sur, Segundo Piso Alto, Patio de Comidas, local #276, Guayaquil ",090102,"4,5"
Sweet & Coffee • Plaza Batán,"Av. Samborondón C.C. Plaza Batán, Guayaquil ",092302,"4,6"
Sweet & Coffee - San Eduardo,"Av. del Bombero km 6.5 Vista de San Eduardo, local 103, Guayaquil ",090904,"4,7"
Sweet & Coffee - San Marino Patio de Comidas,"C.C. San Marino Shopping, Segundo Piso Alto, Patio de Comidas, Local #1-11 Av. Francisco de Orellana y, Av. Carlos Luis Plaza Dañin, Guayaquil ",090512,"4,7"
Sweet & Coffee - Hospital Alfredo G. Paulson,"Roberto Gilbert Elizalde S/N y Ave 2 NE Hospital Gineco-Obstétrico Alfredo G. Paulson, local 71, Guayaquil ",090514,"4,7"
Sweet & Coffee - Riocentro El Dorado PB,"Av. León Febres Cordero Ribadeneyra y E486 C.C. Riocentro El Dorado Planta Baja, Local IC-1, ",091910,"4,6"
Sweet and coffee,"R4G2+HF2, Av del Periodista, Guayaquil ",090512,"5,0"
Sweet & Coffee - Primax Nexus,"Autop. Narcisa de Jesús, Guayaquil ",090703,"4,8"
Sweet & Coffee • Plaza Lagos,"Km. 6.5 Vía a La Aurora Plaza Lagos Town Center, Kiosko Malecón, 1, Samborondón ",092302,"4,7"
Sweet & Coffee - Primax Equitransa,"Av León Febres Cordero Ribadeneyra, Guayaquil ",091910,"5,0"
Sweet & Coffee - Village Plaza Isla,"Av. Samborondón Km 2.5 C.C. Village Plaza, planta baja, Samborondón ",092301,"4,6"
